,PubChemID,SMILES,logKp,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Polar Surface Area,Rotatable Bonds,Aromatic Rings,sp3-Atoms,amide_amide,amide_amides,amine_amine,alkyl-amine_alkyl-amine,aromatic amine_aromatic amine,aromatic nitrogen_aromatic nitrogen,basic nitrogen_basic nitrogen,acidic oxygen_acidic oxygen,acidic oxygen_acidic oxygens,AA,ALCOHOL,ALIPH. MISC.,AROM. MISC.,AZEPANE,AZONE OTHER,CAPROLACTAM,ESTER,ETHER,FATTY ACID,INORGANIC MISC.,MORPHOLINE,PIPERAZINE,PIPERIDINE,PIPERIDONE,POLYOL,PYRROLIDINE,PYRROLIDONE,STEROID,SUCCINIMIDE,SURF,TERP
101,1140,CC1=CC=CC=C1,-2.96,92.1405,2.1935,-1.96,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,996,C1=CC=C(C=C1)O,-2.08,94.1126,1.3139,-1.32,1,1,20.23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,3417419,C1=CC(=C(C=C1N)[N+](=O)[O-])O,-2.55,154.125,-0.285,-1.856,5,2,92.07,1,1,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8405,C1=CC=C2C=NC=CC2=C1,-1.78,129.162,1.8531,-2.427,1,0,12.89,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,289,C1=CC=C(C(=C1)O)O,-2.51,110.112,0.9682,-1.024,2,2,40.46,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8449,C1=CC(=C(C=C1Cl)Cl)O,-1.22,163.003,2.5259,-2.792,1,1,20.23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,31242,C1=CC=C(C=C1)O,-1.46,122.166,2.0734,-1.823,1,1,20.23,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,785,C1=CC(=CC=C1O)O,-2.95,110.112,0.9682,-1.024,2,2,40.46,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,518900,COC(=O)CC1=CC=C(C=C1)O,-1.7,166.175,1.225,-1.426,3,1,46.53,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,127,C1=CC(=CC=C1CC(=O)O)O,-2.60,152.149,0.7971,-1.298,3,2,57.53,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,15420,C1=CC=C(C=C1)O,-1.11,150.22,2.9822,-2.363,1,1,20.23,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,86986,C1=CC(=CC=C1CC(=O)N)O,-3.35,151.164,0.3993,-1.374,3,2,63.32,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,78153,C1=CC(=C(C=C1)O)C(C),-2.30,150.22,2.8448,-2.535,1,1,20.23,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,4338370,C1=CC(=C(C=C1N)[N+](=O)[O-])N,-3.30,153.141,-0.6166,-2.228,5,2,97.86,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,10787,C1=CC(=C(C=C1O)O)O,-3.9,126.111,0.6225,-0.728,3,3,60.69,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,11137,C1=CC(=CC(=C1)O)[N+](=O)[O-],-2.25,139.11,0.3923,-1.78,4,1,66.05,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1732,C1=C(C=CC(=C1)O)Cl,-1.26,142.585,2.2638,-2.4,1,1,20.23,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,125,C1=CC(=CC=C1CO)O,-2.7,124.139,0.7166,-1.204,2,2,40.46,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1001,C1=CC=C(C=C1)CCN,-3.77,121.182,1.0946,-1.6880000000000002,1,1,26.02,2,1,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,243,C1=CC=C(C=C1)C(=O)O,-1.6,122.123,1.1447,-1.629,2,1,37.3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,241,C1=CC=CC=C1,-1.63,78.1136,1.6596,-1.616,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,13019,C1=CC(=CC=C1C#N)O,-1.96,119.123,1.1495,-2.093,2,1,44.02,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1057,C1=CC(=C(C(=C1)O)O)O,-2.81,126.111,0.6225,-0.728,3,3,60.69,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2723,C1=CC(=CC(=C1Cl)C)O,-1.23,156.611,2.6077,-2.744,1,1,20.23,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,6914,C1=C(C=C(C(=C1Cl)O)Cl)Cl,-1.23,197.448,3.1319,-3.528,1,1,20.23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,6923,C(C)(C)C1=CC=CC=C1O,-1.13,150.22,2.8958,-2.48,1,1,20.23,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,335,C1=CC=CC=C1O,-1.80,108.14,1.6578,-1.664,1,1,20.23,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,7243,C1=CC=C(C(=C1)N)N,-3.35,108.144,0.305,-1.768,2,2,52.04,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,7245,C1=CC=C(C(=C1)O)Cl,-1.48,128.558,1.9199,-2.056,1,1,20.23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,7249,C1=C(C=C(C=C1)O),-1.44,122.166,2.2017,-2.008,1,1,20.23,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,7263,C1=CC(=C(C=C1Cl)N)N,-2.68,142.589,0.911,-2.504,2,2,52.04,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,3613389,C1=CC(=C(C=C1[N+](=O)[O-])N)O,-3.18,154.125,-0.285,-1.856,5,2,92.07,1,1,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,2754067,CCCCCCCCN1CCCCCC1=O,-2.28,225.374,3.9059,-2.935,2,0,20.31,7,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,4133,COC(=O)C1=CC=CC=C1O,-1.44,152.149,1.2269,-1.461,3,1,46.53,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,14642,CCCCCCCCOC(=O)C1=CC=C(C=C1)O,-2.03,250.337,4.3596,-3.381,3,1,46.53,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,12082,COC(=O)C1=CC=C(C=C1)N,-1.63,151.164,0.8953,-1.833,3,1,52.32,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,7175,CCCOC(=O)C1=CC=C(C=C1)O,-1.85,180.202,2.0876,-2.031,3,1,46.53,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,7184,CCCCOC(=O)C1=CC=C(C=C1)O,-2.57,194.229,2.542,-2.301,3,1,46.53,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,7456,COC(=O)C1=CC=C(C=C1)O,-1.85,152.149,1.2269,-1.461,3,1,46.53,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,7900,CC(COC)O,-2.90,90.1214,-0.089,-0.476,2,1,29.46,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284,7996,CC(C)OCCO,-3.35,104.148,0.3173,-0.7759999999999999,2,1,29.46,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
285,8054,CC(=O)OCCOC,-2.88,118.131,0.0363,-0.508,3,0,35.53,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
286,8076,CCOCCO,-3.01,90.1214,-0.042,-0.398,2,1,29.46,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
287,8133,CCCCOCCO,-2.44,118.175,0.8668,-0.938,2,1,29.46,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
290,31288,CCCCOCCOCCOC(=O)C,-3.49,204.265,1.2589,-1.269,4,0,44.76,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
291,29352,CCCOC1=CC=C(C=C1)O,-1.82,152.192,2.1046,-1.908,2,1,29.46,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
294,17756,CCCOCCO,-3.14,104.148,0.4124,-0.6679999999999999,2,1,29.46,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
297,22833331,CCCCOC1=CC=CC(=C1)C(=O)NC(=S)NC2=CC=C(C=C2)C(=O)OCC,-3.96,148.201,0.5870000000000001,-0.88,3,1,38.69,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
299,4946,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,-3.74,259.348,2.4155,-3.574,3,2,41.49,6,2,9,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
301,3283,CCOCC,-1.80,74.1224,0.8847,-0.905,1,0,9.23,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
306,264,CCCC(=O)O,-3.00,88.1055,0.6097,-0.999,2,1,37.3,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
307,7991,CCCCC(=O)O,-2.70,102.132,1.0641,-1.269,2,1,37.3,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
308,8094,CCCCCCC(=O)O,-1.7,130.186,1.9729,-1.809,2,1,37.3,5,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
311,445639,CCCCCCCC/C=C\CCCCCCCC(=O)O,-2.88,282.466,6.7191,-4.551,2,1,37.3,15,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
317,8892,CCCCCC(=O)O,-1.85,116.159,1.5185,-1.539,2,1,37.3,4,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
324,5280934,CCC=CCC=CCC=CCCCCCCCC(=O)O,-2.43,278.434,6.2147,-4.095,2,1,37.3,13,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
336,7628,B(O)(O)O,-3.64,61.8318,0.0,3.28,3,3,60.69,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
337,962,O,-2.95,18.0149,0.0,-0.53,1,1,9.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
